time_key,date,hour,day,week,month,quarter,year
T00228,10-05-2020 02:57,02,10,2nd Week,05,Q2,2020
T00229,04-02-2019 14:51,14,04,1st Week,02,Q1,2019
T00230,12-11-2014 06:33,06,12,2nd Week,11,Q4,2014
T00231,26-12-2017 05:09,05,26,4th Week,12,Q4,2017
T00232,17-04-2019 07:01,07,17,3rd Week,04,Q2,2019
T00233,29-04-2015 06:11,06,29,4th Week,04,Q2,2015
T00234,11-05-2015 22:34,22,11,2nd Week,05,Q2,2015
T00235,19-03-2019 13:56,13,19,3rd Week,03,Q1,2019
T00236,18-03-2015 18:29,18,18,3rd Week,03,Q1,2015
T00237,09-08-2017 10:33,10,09,2nd Week,08,Q3,2017
T00238,03-01-2016 02:03,02,03,1st Week,01,Q1,2016
T00239,25-11-2015 01:16,01,25,4th Week,11,Q4,2015
T00240,11-08-2016 10:38,10,11,2nd Week,08,Q3,2016
T00241,24-12-2017 12:53,12,24,4th Week,12,Q4,2017
T00242,16-05-2015 04:58,04,16,3rd Week,05,Q2,2015
T00243,28-04-2020 00:09,00,28,4th Week,04,Q2,2020
T00244,09-08-2018 09:41,09,09,2nd Week,08,Q3,2018
T00245,09-11-2019 04:44,04,09,2nd Week,11,Q4,2019
T00246,14-01-2018 09:30,09,14,2nd Week,01,Q1,2018
T00247,24-02-2015 22:55,22,24,4th Week,02,Q1,2015
T00248,27-07-2014 06:44,06,27,4th Week,07,Q3,2014
T00249,13-06-2016 08:20,08,13,2nd Week,06,Q2,2016
T00250,08-09-2015 17:56,17,08,2nd Week,09,Q3,2015
T00251,30-11-2016 12:52,12,30,4th Week,11,Q4,2016
T00252,29-06-2016 14:56,14,29,4th Week,06,Q2,2016
T00253,21-08-2018 09:53,09,21,3rd Week,08,Q3,2018
T00254,25-08-2018 10:55,10,25,4th Week,08,Q3,2018
T00255,28-06-2017 18:18,18,28,4th Week,06,Q2,2017
T00256,31-12-2014 20:09,20,31,4th Week,12,Q4,2014
T00257,24-09-2014 22:43,22,24,4th Week,09,Q3,2014
T00258,01-02-2014 17:55,17,01,1st Week,02,Q1,2014
T00259,04-10-2017 08:11,08,04,1st Week,10,Q4,2017
T00260,03-02-2015 22:23,22,03,1st Week,02,Q1,2015
T00261,02-06-2018 21:08,21,02,1st Week,06,Q2,2018
T00262,26-06-2020 23:25,23,26,4th Week,06,Q2,2020
T00263,09-09-2015 02:12,02,09,2nd Week,09,Q3,2015
T00264,25-09-2019 07:06,07,25,4th Week,09,Q3,2019
T00265,29-08-2015 16:01,16,29,4th Week,08,Q3,2015
T00266,15-08-2020 06:45,06,15,3rd Week,08,Q3,2020
T00267,26-10-2018 15:41,15,26,4th Week,10,Q4,2018
T00268,10-01-2021 05:45,05,10,2nd Week,01,Q1,2021
T00269,03-09-2014 07:30,07,03,1st Week,09,Q3,2014
T00270,17-01-2018 17:04,17,17,3rd Week,01,Q1,2018
T00271,27-03-2020 23:45,23,27,4th Week,03,Q1,2020
T00272,18-01-2017 23:54,23,18,3rd Week,01,Q1,2017
T00273,19-10-2018 08:59,08,19,3rd Week,10,Q4,2018
T00274,03-12-2017 15:36,15,03,1st Week,12,Q4,2017
T00275,31-08-2014 19:54,19,31,4th Week,08,Q3,2014
T00276,28-03-2017 01:56,01,28,4th Week,03,Q1,2017
T00277,30-03-2020 05:52,05,30,4th Week,03,Q1,2020
T00278,18-10-2017 08:14,08,18,3rd Week,10,Q4,2017
T00279,28-07-2018 23:01,23,28,4th Week,07,Q3,2018
T00280,24-08-2018 16:10,16,24,4th Week,08,Q3,2018
T00281,18-01-2019 00:57,00,18,3rd Week,01,Q1,2019
T00282,22-06-2016 18:26,18,22,4th Week,06,Q2,2016
T00283,28-12-2018 22:25,22,28,4th Week,12,Q4,2018
T00284,06-03-2020 01:33,01,06,1st Week,03,Q1,2020
T00285,05-09-2015 04:32,04,05,1st Week,09,Q3,2015
T00286,07-11-2020 16:52,16,07,1st Week,11,Q4,2020
T00287,11-09-2019 14:23,14,11,2nd Week,09,Q3,2019
T00288,03-11-2016 19:23,19,03,1st Week,11,Q4,2016
T00289,16-04-2014 22:12,22,16,3rd Week,04,Q2,2014
T00290,12-08-2018 14:46,14,12,2nd Week,08,Q3,2018
T00291,12-02-2015 17:15,17,12,2nd Week,02,Q1,2015
T00292,04-06-2017 02:08,02,04,1st Week,06,Q2,2017
T00293,19-04-2014 11:33,11,19,3rd Week,04,Q2,2014
T00294,03-03-2017 20:28,20,03,1st Week,03,Q1,2017
T00295,19-05-2018 00:08,00,19,3rd Week,05,Q2,2018
T00296,15-04-2014 05:58,05,15,3rd Week,04,Q2,2014
T00297,18-10-2014 04:38,04,18,3rd Week,10,Q4,2014
T00298,20-04-2016 23:01,23,20,3rd Week,04,Q2,2016
T00299,12-11-2019 09:29,09,12,2nd Week,11,Q4,2019
T00300,20-11-2019 03:24,03,20,3rd Week,11,Q4,2019
T00301,07-06-2014 10:53,10,07,1st Week,06,Q2,2014
T00302,07-10-2020 22:53,22,07,1st Week,10,Q4,2020
T00303,13-11-2014 23:53,23,13,2nd Week,11,Q4,2014
T00304,10-11-2019 09:36,09,10,2nd Week,11,Q4,2019
T00305,10-06-2020 04:05,04,10,2nd Week,06,Q2,2020
T00306,27-04-2014 12:15,12,27,4th Week,04,Q2,2014
T00307,04-09-2019 04:59,04,04,1st Week,09,Q3,2019
T00308,30-06-2017 05:55,05,30,4th Week,06,Q2,2017
T00309,28-08-2015 18:22,18,28,4th Week,08,Q3,2015
T00310,07-01-2021 10:09,10,07,1st Week,01,Q1,2021
T00311,03-01-2019 08:12,08,03,1st Week,01,Q1,2019
T00312,13-11-2016 06:07,06,13,2nd Week,11,Q4,2016
T00313,10-01-2020 11:11,11,10,2nd Week,01,Q1,2020
T00314,22-01-2015 02:02,02,22,4th Week,01,Q1,2015
T00315,01-02-2014 21:49,21,01,1st Week,02,Q1,2014
T00316,16-10-2020 20:27,20,16,3rd Week,10,Q4,2020
T00317,09-05-2019 04:42,04,09,2nd Week,05,Q2,2019
T00318,19-12-2018 06:27,06,19,3rd Week,12,Q4,2018
T00319,23-05-2019 06:55,06,23,4th Week,05,Q2,2019
T00320,13-03-2019 06:49,06,13,2nd Week,03,Q1,2019
T00321,31-10-2017 17:33,17,31,4th Week,10,Q4,2017
T00322,28-03-2016 09:09,09,28,4th Week,03,Q1,2016
T00323,28-03-2016 03:58,03,28,4th Week,03,Q1,2016
T00324,11-03-2020 10:09,10,11,2nd Week,03,Q1,2020
T00325,14-05-2014 12:37,12,14,2nd Week,05,Q2,2014
T00326,17-02-2016 00:09,00,17,3rd Week,02,Q1,2016
T00327,28-05-2014 16:12,16,28,4th Week,05,Q2,2014
T00328,15-02-2015 10:55,10,15,3rd Week,02,Q1,2015
T00329,21-11-2018 12:07,12,21,3rd Week,11,Q4,2018
T00330,08-08-2014 20:36,20,08,2nd Week,08,Q3,2014
T00331,16-02-2020 07:15,07,16,3rd Week,02,Q1,2020
T00332,01-10-2020 05:06,05,01,1st Week,10,Q4,2020
T00333,01-01-2015 08:14,08,01,1st Week,01,Q1,2015
T00334,03-01-2018 13:43,13,03,1st Week,01,Q1,2018
T00335,13-01-2017 21:29,21,13,2nd Week,01,Q1,2017
T00336,02-11-2019 03:10,03,02,1st Week,11,Q4,2019
T00337,27-11-2016 12:50,12,27,4th Week,11,Q4,2016
T00338,17-02-2018 19:10,19,17,3rd Week,02,Q1,2018
T00339,20-02-2018 10:43,10,20,3rd Week,02,Q1,2018
T00340,22-06-2017 12:46,12,22,4th Week,06,Q2,2017
T00341,10-10-2017 15:42,15,10,2nd Week,10,Q4,2017
T00342,06-08-2014 16:59,16,06,1st Week,08,Q3,2014
T00343,27-05-2015 06:10,06,27,4th Week,05,Q2,2015
T00344,27-02-2016 11:07,11,27,4th Week,02,Q1,2016
T00345,17-07-2018 09:02,09,17,3rd Week,07,Q3,2018
T00346,21-10-2015 20:40,20,21,3rd Week,10,Q4,2015
T00347,03-12-2014 09:53,09,03,1st Week,12,Q4,2014
T00348,04-02-2018 08:37,08,04,1st Week,02,Q1,2018
T00349,28-08-2018 16:19,16,28,4th Week,08,Q3,2018
T00350,20-02-2017 11:50,11,20,3rd Week,02,Q1,2017
T00351,21-12-2018 14:44,14,21,3rd Week,12,Q4,2018
T00352,17-05-2019 03:36,03,17,3rd Week,05,Q2,2019
T00353,28-09-2017 04:12,04,28,4th Week,09,Q3,2017
T00354,12-07-2014 20:45,20,12,2nd Week,07,Q3,2014
T00355,12-07-2017 05:18,05,12,2nd Week,07,Q3,2017
T00356,31-03-2015 02:51,02,31,4th Week,03,Q1,2015
T00357,01-06-2018 07:58,07,01,1st Week,06,Q2,2018
T00358,04-11-2018 09:32,09,04,1st Week,11,Q4,2018
T00359,04-02-2018 14:44,14,04,1st Week,02,Q1,2018
T00360,09-06-2014 08:25,08,09,2nd Week,06,Q2,2014
T00361,18-03-2019 07:04,07,18,3rd Week,03,Q1,2019
T00362,08-01-2017 16:10,16,08,2nd Week,01,Q1,2017
T00363,19-06-2015 18:20,18,19,3rd Week,06,Q2,2015
T00364,28-10-2014 10:05,10,28,4th Week,10,Q4,2014
T00365,30-08-2017 07:21,07,30,4th Week,08,Q3,2017
T00366,20-09-2014 21:35,21,20,3rd Week,09,Q3,2014
T00367,14-11-2016 21:49,21,14,2nd Week,11,Q4,2016
T00368,22-06-2019 22:06,22,22,4th Week,06,Q2,2019
T00369,25-10-2019 20:28,20,25,4th Week,10,Q4,2019
T00370,03-01-2016 20:13,20,03,1st Week,01,Q1,2016
T00371,01-03-2014 17:28,17,01,1st Week,03,Q1,2014
T00372,12-06-2017 10:17,10,12,2nd Week,06,Q2,2017
T00373,30-12-2017 03:02,03,30,4th Week,12,Q4,2017
T00374,04-11-2019 09:54,09,04,1st Week,11,Q4,2019
T00375,13-02-2018 11:00,11,13,2nd Week,02,Q1,2018
T00376,24-07-2014 00:32,00,24,4th Week,07,Q3,2014
T00377,20-08-2018 21:06,21,20,3rd Week,08,Q3,2018
T00378,20-01-2016 23:23,23,20,3rd Week,01,Q1,2016
T00379,03-01-2020 21:30,21,03,1st Week,01,Q1,2020
T00380,10-09-2020 02:29,02,10,2nd Week,09,Q3,2020
T00381,10-06-2020 06:51,06,10,2nd Week,06,Q2,2020
T00382,26-01-2018 20:05,20,26,4th Week,01,Q1,2018
T00383,09-03-2020 05:09,05,09,2nd Week,03,Q1,2020
T00384,03-10-2014 07:01,07,03,1st Week,10,Q4,2014
T00385,20-11-2016 12:01,12,20,3rd Week,11,Q4,2016
T00386,29-10-2016 11:02,11,29,4th Week,10,Q4,2016
T00387,11-07-2019 00:25,00,11,2nd Week,07,Q3,2019
T00388,29-07-2019 14:36,14,29,4th Week,07,Q3,2019
T00389,27-06-2015 06:05,06,27,4th Week,06,Q2,2015
T00390,21-06-2014 22:59,22,21,3rd Week,06,Q2,2014
T00391,22-01-2018 23:04,23,22,4th Week,01,Q1,2018
T00392,17-06-2020 10:31,10,17,3rd Week,06,Q2,2020
T00393,26-10-2019 17:15,17,26,4th Week,10,Q4,2019
T00394,28-06-2018 08:00,08,28,4th Week,06,Q2,2018
T00395,12-08-2018 03:03,03,12,2nd Week,08,Q3,2018
T00396,24-06-2019 19:51,19,24,4th Week,06,Q2,2019
T00397,20-06-2018 08:49,08,20,3rd Week,06,Q2,2018
T00398,12-11-2020 11:58,11,12,2nd Week,11,Q4,2020
T00399,15-12-2018 10:23,10,15,3rd Week,12,Q4,2018
T00400,28-10-2019 06:52,06,28,4th Week,10,Q4,2019
T00401,22-01-2018 16:43,16,22,4th Week,01,Q1,2018
T00402,09-04-2014 16:47,16,09,2nd Week,04,Q2,2014
T00403,06-12-2014 22:18,22,06,1st Week,12,Q4,2014
T00404,17-05-2016 13:13,13,17,3rd Week,05,Q2,2016
T00405,07-11-2015 08:13,08,07,1st Week,11,Q4,2015
T00406,18-03-2017 20:52,20,18,3rd Week,03,Q1,2017
T00407,10-10-2015 18:37,18,10,2nd Week,10,Q4,2015
T00408,21-08-2014 14:59,14,21,3rd Week,08,Q3,2014
T00409,30-10-2018 18:11,18,30,4th Week,10,Q4,2018
T00410,21-07-2020 21:29,21,21,3rd Week,07,Q3,2020
T00411,10-05-2018 05:03,05,10,2nd Week,05,Q2,2018
T00412,29-01-2017 01:31,01,29,4th Week,01,Q1,2017
T00413,29-12-2017 06:25,06,29,4th Week,12,Q4,2017
T00414,05-07-2020 21:54,21,05,1st Week,07,Q3,2020
T00415,27-03-2017 09:05,09,27,4th Week,03,Q1,2017
T00416,14-08-2020 08:59,08,14,2nd Week,08,Q3,2020
