names,date_x,score,genre,overview,crew,orig_title,status,orig_lang,budget_x,revenue,country
Batman: The Doom That Came to Gotham,03/28/2023 ,64.0,"Animation, Fantasy, Horror, Action, Mystery","Explorer Bruce Wayne accidentally unleashes an ancient evil, and returns to Gotham after being away for two decades. There, Batman battles Lovecraftian supernatural forces and encounters allies and enemies such as Green Arrow, Ra's al Ghul, Mr. Freeze, Killer Croc, Two-Face and James Gordon.","David Giuntoli, Batman / Bruce Wayne (voice), Patrick Fabian, Harvey Dent / Two-Face (voice), John DiMaggio, James Gordon (voice), Karan Brar, Sanjay 'Jay' Tawde (voice), Navid Negahban, Ra's al Ghul (voice), Darin De Paul, Thomas Wayne (voice), Emily O'Brien, Talia al Ghul / Martha Wayne (voice), Christopher Gorham, Oliver Queen / Green Arrow (voice), David Dastmalchian, Grendon (voice)",Batman: The Doom That Came to Gotham, Released, English,145760000.0,321934831.2,US
Shazam! Fury of the Gods,03/16/2023 ,69.0,"Action, Comedy, Fantasy","Billy Batson and his foster siblings, who transform into superheroes by saying ""Shazam!"", are forced to get back into action and fight the Daughters of Atlas, who they must stop from using a weapon that could destroy the world.","Zachary Levi, Shazam, Asher Angel, Billy Batson, Jack Dylan Grazer, Freddy Freeman, Grace Caroline Currey, Mary Bromfield / Super Hero Mary, Helen Mirren, Hespera, Lucy Liu, Kalypso, Rachel Zegler, Anthea, Adam Brody, Super Hero Freddy, Meagan Good, Super Hero Darla",Shazam! Fury of the Gods, Released, English,125000000.0,132107025.0,AU
Consecration,02/10/2023 ,65.0,"Horror, Thriller","After the alleged suicide of her priest brother, Grace travels to the remote Scottish convent where he fell to his death. Distrusting the Church's account, she uncovers murder, sacrilege and a disturbing truth about herself.","Jena Malone, Grace, Danny Huston, Father Romero, Thoren Ferguson, DCI Harris, Janet Suzman, Mother Superior, Ian Pirie, Vincent, Steffan Cennydd, Michael, Will Keen, , Alexandra Lewis, Sister Beth, Kit Rakusen, Young Michael",Consecration, Released, English,54060000.0,492646395.4,US
Shark Side of the Moon,08/12/2022 ,53.0,"Action, Science Fiction, Thriller, Horror","Decades ago, the USSR developed unkillable sharks and launched them to the moon. Today, a team of American astronauts will endure the fight of their lives.","Maxi Witrak, Commander Nicole Tress, Ego Mikitas, Sergei, Michael Marcel, Michael Kelly, Tania Fox, Akula, Konstantin Podprugin, Henri, Lindsey Marie Wilson, Elli Waters, Lydia Hunter, Josie, Reginald Stalling III, Tom, Terrance Livingston Jr., Liam",Shark Side of the Moon, Released, English,10000.0,17887093.8,US
Black Adam,10/20/2022 ,71.0,"Action, Adventure, Science Fiction, Fantasy","Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.","Dwayne Johnson, Black Adam / Teth Adam, Aldis Hodge, Hawkman / Carter Hall, Noah Centineo, Atom Smasher / Al Rothstein, Sarah Shahi, Adrianna Tomaz, Quintessa Swindell, Cyclone / Maxine Hunkel, Marwan Kenzari, Ishmael / Sabbac / King Ahk-Ton, Mo Amer, Karim, Bodhi Sabongui, Amon Tomaz, Pierce Brosnan, Dr. Fate / Kent Nelson",Black Adam, Released, English,200000000.0,391261706.0,AU
Money Shot: The Pornhub Story,03/15/2023 ,58.0,Documentary,"Featuring interviews with performers, activists and past employees, this documentary offers a deep dive into the successes and scandals of Pornhub.","Noelle Perdue, Self - Porn Industry Professional, Mike Stabile, Self - Porn Industry Advocate / Director of Public Affairs, FSC, Siri, Self - Porn Performer, Wolf Hudson, Self - Porn Performer, Martin Patriquin, Self - Journalist, The Logic, Bree Mills, Self - Porn Director, Cherie DeVille, Self - Porn Performer, Asa Akira, Self - Pornhub Ambassador, Natassia Dreams, Self - Pornhub Ambassador",Money Shot: The Pornhub Story, Released, English,68500000.0,280052393.0,US
M3GAN,01/12/2023 ,74.0,"Science Fiction, Horror, Comedy","A brilliant toy company roboticist uses artificial intelligence to develop M3GAN, a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well, she becomes overprotective of her new friend with terrifying results.","Allison Williams, Gemma, Violet McGraw, Cady, Jenna Davis, M3GAN (voice), Amie Donald, M3GAN, Jen Van Epps, Tess, Brian Jordan Alvarez, Cole, Ronny Chieng, David Lin, Stephane Garneau-Monten, Kurt, Amy Usherwood, Lydia",M3GAN, Released, English,12000000.0,167643991.0,AU
Ant-Man and the Wasp: Quantumania,02/16/2023 ,63.0,"Science Fiction, Adventure, Action","Super-Hero partners Scott Lang and Hope van Dyne, along with with Hope's parents Janet van Dyne and Hank Pym, and Scott's daughter Cassie Lang, find themselves exploring the Quantum Realm, interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.","Paul Rudd, Scott Lang / Ant-Man, Evangeline Lilly, Hope van Dyne / The Wasp, Jonathan Majors, Kang the Conqueror, Kathryn Newton, Cassie Lang, Michelle Pfeiffer, Janet van Dyne, Michael Douglas, Dr. Hank Pym, Corey Stoll, M.O.D.O.K., Bill Murray, Lord Krylar, William Jackson Harper, Quaz",Ant-Man and the Wasp: Quantumania, Released, English,200000000.0,466001332.0,AU
Sayen,03/03/2023 ,62.0,"Thriller, Action","Sayen is hunting down the men who murdered her grandmother. Using her training and knowledge of nature, she is able to turn the tables on them, learning of a conspiracy from a corporation that threatens her people's ancestral lands.","Rallén Montenegro, Sayen, Arón Piper, Antonio Torres, Enrique Arce, Máximo Torres, Roberto García Ruiz, Bykov, Loreto Aravena, Miranda, Alejandro Trejo, Lira, Eduardo Paxeco, Rubén, Camilo Arancibia, José, Teresa Ramos, Ilwen",Sayen, Released," Spanish, Castilian",73800000.0,370426090.8,CL
Die Hart,02/24/2023 ,62.0,"Action, Comedy, Thriller","Kevin Hart - playing a version of himself - is on a death-defying quest to become an action star. And with a little help from John Travolta, Nathalie Emmanuel, and Josh Hartnett - he just might pull it off.","Kevin Hart, Kevin Hart, John Travolta, Ron Wilcox, Nathalie Emmanuel, Jordan King, Jean Reno, Claude Van De Velde, Josh Hartnett, Josh, Kenneth Trujillo, Diego, Joshua Lamboy, Ortiz, Brandon Quinn, Danny Morrison, Milana Vayntrub, Leah",Die Hart, Released, English,113000000.0,369995579.2,US
13 Exorcisms,11/04/2022 ,55.0,"Drama, Horror","After participating in a séance, young Laura begins to behave strangely. Alarmed, her parents ask Father Olmedo, one of the few exorcists authorized by the Vatican to intervene in cases of demonic possession, for help.","María Romanillos, Laura, Ruth Díaz, Carmen, Urko Olazábal, Tomás, Pablo Revuelta, Jesús, José Sacristán, Padre Olmedo, Daniela Bini, Niña Demonio, Cristina Castaño, Asunción, Silma López, Lola, Daniel Arias, Enrique", 13 exorcismos, Released," Spanish, Castilian",2480000.0,1891519.0,ES
H.P. Lovecraft's Witch House,06/29/2022 ,60.0,Horror,"Determined to prove the possibility of alternate dimensions, a graduate student unknowingly unlocks a gateway to unimaginable horror. Based on the H.P. Lovecraft's short story The Dreams in the Witch House.","Portia Chellelynn, Alice, Julie Anne Prescott, Tommi, Andrea Collins, Keziah Mason, Erin Trimble, Kelly, Solon Tsangaras, Brown Jenkin, John Johnson, Professor Sherfick, Shonda Laverty, , Bill Levin, Vespuli, Joe Padgett, Joe",H.P. Lovecraft's Witch House, Released, English,146740000.0,301123555.2,US
John Wick: Chapter 2,05/18/2017 ,73.0,"Action, Thriller, Crime","John Wick is forced out of retirement by a former associate looking to seize control of a shadowy international assassins’ guild. Bound by a blood oath to aid him, Wick travels to Rome and does battle against some of the world’s most dangerous killers.","Keanu Reeves, John Wick, Common, Cassian, Ian McShane, Winston, Laurence Fishburne, Bowery King, Riccardo Scamarcio, Santino D'Antonio, Ruby Rose, Ares, Lance Reddick, Charon, Peter Stormare, Abram Tarasov, Bridget Moynahan, Helen Wick",John Wick: Chapter 2, Released, English,40000000.0,171539887.0,AU
Sick,09/24/2022 ,63.0,"Horror, Thriller","In the midst of the pandemic, college student Parker and her best friend Miri decide to self-quarantine at her family's lake house, where they will be alone — or so they think.","Gideon Adlon, Parker, Bethlehem Million, Miri, Dylan Sprayberry, DJ, Marc Menchaca, Jason, Jane Adams, Pamela, Joel Courtney, Tyler, Chris Reid, Jeb, Duane Stephens, Mr. Lyons, Logan Murphy, Benji",Sick, Released, English,81800000.0,408307377.8,US
Black Warrant,03/01/2023 ,54.0,"Action, Thriller",A semi-retired special ops assassin and a DEA agent cross paths on separate missions to stop a cyber terrorist organization that has built a dangerous machine threatening to attack the power grid and bring catastrophe to the world.,"Tom Berenger, Nick Falconi, Cam Gigandet, Anthony, Jeff Fahey, LaRusso, Jonathan Avigdori, Sadiq, Sara Seyed, Rashida, Rafael Cabrera, Zico, Rodrigo Abed, Capitan Escalante, Tonantzin Esparza, Carmen",Black Warrant, Released, English,116000000.0,378399280.8,AU
Shotgun Wedding,01/26/2023 ,63.0,"Action, Comedy, Romance","Darcy and Tom gather their families for the ultimate destination wedding but when the entire party is taken hostage, “’Til Death Do Us Part” takes on a whole new meaning in this hilarious, adrenaline-fueled adventure as Darcy and Tom must save their loved ones—if they don’t kill each other first.","Jennifer Lopez, Darcy, Josh Duhamel, Tom, Jennifer Coolidge, Carol, Sônia Braga, Renata, Lenny Kravitz, Sean, D'Arcy Carden, Harriet, Cheech Marin, Robert, Selena Tan, Marge, Desmin Borges, Ricky",Shotgun Wedding, Released, English,16050000.0,4495365.0,AU
John Wick: Chapter 3 - Parabellum,05/16/2019 ,74.0,"Action, Thriller, Crime","Super-assassin John Wick returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin’s guild, the High Table, John Wick is excommunicado, but the world’s most ruthless hit men and women await his every turn.","Keanu Reeves, John Wick, Halle Berry, Sofia, Ian McShane, Winston, Laurence Fishburne, Bowery King, Mark Dacascos, Zero, Asia Kate Dillon, Adjudicator, Lance Reddick, Charon, Anjelica Huston, Director, Tobias Segal, Earl",John Wick: Chapter 3 - Parabellum, Released, English,55000000.0,326709727.0,AU
Legion of Super-Heroes,02/07/2023 ,63.0,"Animation, Action, Science Fiction","Kara, devastated by the loss of Krypton, struggles to adjust to her new life on Earth. Her cousin, Superman, mentors her and suggests she leave their space-time to attend the Legion Academy in the 31st century, where she makes new friends and a new enemy: Brainiac 5. Meanwhile, she must contend with a mysterious group called the Dark Circle as it searches for a powerful weapon held in the Academy’s vault.","Meg Donnelly, Supergirl / Kara (voice), Harry Shum Jr., Brainiac 5 (voice), Darren Criss, Superman (voice), Jensen Ackles, Batman (voice), Matt Bomer, The Flash (voice), Cynthia Hamidi, Dawnstar (voice), Yuri Lowenthal, Mon El (voice), Gideon Adlon, Phantom Girl (voice), Ely Henry, Bouncing Boy (voice)",Legion of Super-Heroes, Released, English,113400000.0,778431865.2,US
Fall,09/22/2022 ,73.0,"Thriller, Drama","For best friends Becky and Hunter, life is all about conquering fears and pushing limits. But after they climb 2,000 feet to the top of a remote, abandoned radio tower, they find themselves stranded with no way down. Now Becky and Hunter’s expert climbing skills will be put to the ultimate test as they desperately fight to survive the elements, a lack of supplies, and vertigo-inducing heights","Grace Caroline Currey, Becky, Virginia Gardner, Hunter, Jeffrey Dean Morgan, James, Mason Gooding, Dan Connor, Jasper Cole, Dog Walker Dan, Darrell Dennis, Randy, Julia Pace Mitchell, Waitress",Fall, Released, English,3000000.0,16120263.0,AU
Lord of the Streets,04/22/2022 ,52.0,Action,"When Jason Dyson refuses to make his prized fighter throw an MMA match, a notorious gangster collects his debt by killing the fighter and kidnapping Jason's daughter. Now he must train a prisoner to endure five consecutive underground fights to save her.","Treach, Jason Dyson, Quinton Jackson, Kane, Khalil Rountree Jr., Damon Stone, Anderson Silva, Axel, Richard Grieco, Detective Kayes, A.J. McKee, Tre Jordan, Gigi Gustin, Sasha, Meredith Thomas, Teresa, Ashley Doris, Valery Dyson",Lord of the Streets, Released, English,1000000.0,22790427.2,US
Little Dixie,02/03/2023 ,60.0,"Thriller, Action, Drama, Crime","Erstwhile Special Forces operative Doc Alexander is asked to broker a truce with the Mexican drug cartel in secrecy. When Oklahoma Governor Richard Jeffs celebrates the execution of a high-ranking cartel member on TV, his Chief of Staff and Doc inform him about the peace he just ended. But it’s too late, as Cuco, the cartel’s hatchet man, has set his vengeful sights on Doc’s daughter Dixie.","Frank Grillo, Doc Alexander, Eric Dane, Governor Richard Jeffs, Annabeth Gish, Billie Riggs, Mercedes Mason, Julie Reed, Peter Greene, Karl Roach, Beau Knapp, Raphael 'Cuco' Prado, Thomas Dekker, Clarke Moore, Maurice Compte, Lalo Miguel Prado, Sufe Bradshaw, Carla",Little Dixie, Released, English,141340000.0,748525217.4,US
The Whale,02/02/2023 ,81.0,Drama,A reclusive English teacher suffering from severe obesity attempts to reconnect with his estranged teenage daughter for one last chance at redemption.,"Brendan Fraser, Charlie, Sadie Sink, Ellie, Hong Chau, Liz, Ty Simpkins, Thomas, Samantha Morton, Mary, Sathya Sridharan, Dan The Pizza Man, Jacey Sink, Young Ellie, Wilhelm Schalaudek, Liam (uncredited)",The Whale, Released, English,3000000.0,36752010.0,AU
Prey for the Devil,10/28/2022 ,71.0,"Horror, Thriller","In response to a global rise in demonic possessions, the Catholic Church reopens exorcism schools to train priests in the Rite of Exorcism. On this spiritual battlefield, an unlikely warrior rises: a young nun, Sister Ann. Thrust onto the spiritual frontline with fellow student Father Dante, Sister Ann finds herself in a battle for the soul of a young girl and soon realizes the Devil has her right where he wants her.","Jacqueline Byers, Sister Ann, Colin Salmon, Father Quinn, Christian Navarro, Father Dante, Lisa Palfrey, Sister Euphemia, Nicholas Ralph, Father Raymond, Ben Cross, Cardinal Matthews, Virginia Madsen, Dr. Peters, Tom Forbes, Matt, Velizar Binev, Father Bernhard",Prey for the Devil, Released, English,27240305.0,37655699.0,US
Bandit,09/23/2022 ,62.0,"Crime, Drama, Thriller","After escaping a Michigan prison, a charming career criminal assumes a new identity in Canada and goes on to rob a record 59 banks and jewellery stores while being hunted by a rogue task force. Based on the story of The Flying Bandit.","Josh Duhamel, Gilbert Galvan Jr/Robert Whiteman, Elisha Cuthbert, Andrea, Mel Gibson, Tommy, Nestor Carbonell, Snydes, Lorenzo Yearby, Ben, Swen Temmel, Hoffman, Keith Arthur Bolden, Diamond Dave, Dylan Flashner, Bishop, Olivia d'Abo, Linda",Bandit, Released, English,115000000.0,484414431.0,US
